ID,Sent1,Sent2,Score
96,Queen pays tribute to Nelson Mandela,South Africa's rugby fraternity mourns Mandela,1.0
98,Declines in US stock market moderate,Tech sell-off sends Asian stock markets lower,0.4
102,"Latest Anti-Muslim Violence in Burma Kills 1, Injures 10",World Briefing | Asia: Myanmar: Deadly Anti-Muslim Violence Flares Up,2.6
103,Suspected U.S. drone strike kills 5 in Pakistan,U.S. drone strike kills 5 in Pakistan,3.8
104,"The Note's Must-Reads for Friday May 24, 2013","The Note's Must-Reads for Tuesday October 29, 2013",2.0
106,22 killed in mine accident in southwestern China,"2 killed, dozens injured by blast in southwest Pakistan",0.6
107,NYPD Twitter Outreach Backfires Badly,NYPD's twitter campaign backfires,4.8
108,19 hurt in New Orleans shooting,Police: 19 hurt in NOLA Mother's Day shooting,4.4
109,Another migrant ship capsizes off Italy,"Another migrant boat capsizes off Italy, 27 dead",3.8
112,Turkish search ends as last missing miners found,Turkish Search Ends as Last Missing Miners Found,5.0
115,Iran predicts failure of Israeli-Palestinian peace talks,Tentative Deal Reached to Resume Israeli-Palestinian Talks - US,1.4
117,Olivia Colman wins second BAFTA Award,Baftas 2013: Olivia Colman picks up two awards,4.4
118,Titanic Violin Nabs Record $1.4 Million,Titanic violin sells for $1.7 million,3.8
120,Ankeet Chavan granted conditional bail for marriage,Ankeet Chavan granted bail to get married,5.0
122,JAL's first order from Airbus is blow to Boeing,Japan Airlines orders 31 Airbus A350s valued at $9.5 bn,3.0
125,Sienna Miller testifies at UK phone hacking trial,Sienna Miller attacks press for ‚Äėtitillating‚Äô reports at hacking trial,3.0
126,Israelis attack 2 Palestinians in Jerusalem area,Settlers Beat up Palestinian in Jerusalem,2.6
130,EU extends sanctions against Russia,Nigeria drops arms trafficking charges against Russian sailors,0.4
131,"Cuba sees ""major role"" for foreign investment",House set to vote on plan to reopen government,0.0
132,‚ÄėGlee‚Äô star Cory Monteith found dead in hotel room,Cory Monteith found dead: Canadian ‚ÄėGlee‚Äô star was 31,3.4
135,"Lebanon's PM forms 'unity cabinet' Lebanon's prime minister has formed a cabinet more than 10 months after taking office, taking in a wide range of political groups after bridging serious divisions am","BEIRUT: Lebanon's prime minister formed a cabinet more than 10 months after taking office yesterday, including a wide range of political groups after bridging serious divisions among them mostly over ",4.6
137,Iranian president makes debut on world stage,Iran presidential candidate says western sanctions should be broken,0.6
140,Scores Killed In Egyptian Protests,Turkey's PM Warns Against Protests,1.2
142,"State Dept. issues wide travel alert, says terror attack possible","US issues global travel alert, cites al-Qaida threat",3.8
143,Cameron 'has no concerns' over halal meat,Veterans health probe confirms cover-up of care delays,0.0
146,Michelle Obama To Star In Parks And Recreation,Michelle Obama to appear on 'Parks and Recreation',4.6
151,Singapore stocks end up 0.11 pct,Singapore stocks end down 0.45%,1.6
152,World's oldest man dies at 116,World's oldest ever man dies aged 116,4.6
153,"GM slow on recalls, Congress record shows",mobile world congress future smartphone,0.0
156,Death toll in Lebanon bombings rises to 47,1 suspect arrested after Lebanon car bombings kill 45,2.8
157,Greek far-right leader imprisoned pending trial,Greek Far-Right Leader Imprisoned Pending Trial,5.0
158,Bangladesh factory owners arrested as death toll nears 350,Bangladesh factory owners arrested,3.2
163,4 Egyptian soldiers killed in Sinai ambush,3 Egyptian soldiers killed in Sinai car bombing,3.2
165,Beijing's Aircraft Carrier Returns from South China Sea,China sends carrier to South China Sea,2.4
166,"Egypt courts hear cases against Mubarak, Islamists",Egypt court temporarily releases Mubarak over illicit gains,1.8
168,Moscow's Crimea success could lead to it redrawing Ukraine's eastern border,Merkel: Russian actions could lead to a catastrophe,2.6
169,Nelson Mandela dies aged 95,Nelson Mandela Dies at Age 95,5.0
171,Belgian King Albert II to step down in favor of son,Belgium King Albert II 'to abdicate',4.2
172,Nazi Gestapo chief 'buried in Jewish cemetery',Nazi chief buried in Jewish cemetary,4.8
176,Swiss vote on highest minimum wage,Swiss cast ballots on world's highest minimum wage,4.6
177,Kevin Rudd sworn in as Australian prime minister,Rudd sworn in as Australia's new Prime Minister,5.0
178,Donetsk Region Protesters Detain Trucks Carrying Government Rocket Ammo,"Come and get me, says Thai protest leader as anti-government riots grow",0.8
183,Easy Rider star Karen Black dies aged 74,Easy Rider Actress Karen Black Dies Of Cancer,4.2
185,Coronation Street's Bill Roache Arrested,Coronation Street stars hail 'amazing' new set,1.2
187,Russia warns Ukraine against EU deal,Rebels down Ukraine helicopters,1.2
192,Red Sox beat Tigers to reach World Series,Red Sox beat Tigers 5-2 to advance to World Series,4.4
194,At Least 22 Dead After China Earthquake,At least 89 dead in China earthquakes,2.8
200,News is my Business,A New iPad Is Coming,0.2
201,Hernandez double gives Mexico victory,Hernandez double gives Mexico victory over Japan,3.4
204,Rosberg emulates father with Monaco win,FORMULA 1: Rosberg stays modest despite Monaco win,3.8
205,Glasgow helicopter death toll rises to nine,Earthquake death toll rises to 260,0.6
208,David Beckham to retire at end of season,David Beckham Retires From Football,4.4
209,Afghanistan: suicide bomber kills eight in military bus blast,Roadside bomb 'kills eight Afghan soldiers',3.8
210,China sacks top economic official,China FM hosts senior ASEAN officials,0.4
212,N. Korea's Kim hails execution of powerful uncle,North Korea's Kim seen behind sacking of powerful uncle,4.6
214,"EU, Myanmar work toward investment protection agreement",China no longer top investment destination: poll,1.4
215,Tehelka editor embroiled in sex assault scam,Tehelka editor steps down after allegations of sexual misconduct,4.2
216,Iron Lady Margaret Thatcher dies at 87,Former British PM Margaret Thatcher dies at 87,4.6
217,Four Morsi supporters killed in Egypt clashes,Thousands of Morsi supporters gather in Egypt,2.2
218,U.N. condemns ethnic killings in South Sudan oil town,UN Condemns Ethnic Killings in South Sudan,4.6
220,Feds drop 'morning-after pill' appeal,US to allow morning-after pill for girls of any age,2.6
221,Police fire tear gas at protesters in Bangkok,Police fire tear gas at protesters,3.0
222,"Shooting, protests mar Thai voting",Thai protesters disrupt advance voting,3.6
223,China stock index futures close lower -- April 23,China stock index futures close higher -- Dec. 4,2.2
225,Canada approves oil pipeline to the Pacific Coast,Canadian government approves controversial oil pipeline to Pacific,4.8
227,Seven Filipinos slain in Yemen attack,Syrian soldiers killed in bomb attack,0.8
228,Storm buries Northeast; 16 inches of snow in NJ,"Forum urges stable relations for China, Japan",0.0
229,Israel ends airstrike case; Palestinians critical,Israeli gunboats fire at Palestinian fishermen,1.4
232,Protesters topple Lenin statue in Kiev,Ukraine protesters topple Lenin statue in Kiev,4.4
236,Brooks pleads not guilty to hacking charges,Dave Lee Travis pleads not guilty to all charges,1.4
240,Iran 'thwarts nuclear sabotage attempts',Iran says detects sabotage at nuclear facility,3.6
243,Jamaican connection in Liverpool's win,Japan Election: Shinzo Abe Hails Landslide Win,0.4
245,China yuan strengthens to 6.1184 against USD Tuesday,China Yuan Strengthens to 6.168 against USD Monday,3.2
249,"International weapons experts leave Syria, Obama to make statement","Weapons experts leave Syria, U.S. prepares attack",2.8
250,Protesters gather in Brazil despite concessions,Protests continue in Ukraine despite concessions,1.2
255,Queen visits London soldier attack scene,Queen Elizabeth II visits barracks of UK soldier slain last week,4.2
257,India and China troops retreat to de facto border in face-off deal,India says China agrees retreat to de facto border in faceoff deal,4.2
258,Relief in Boston as second suspect captured,Police confirm how suspect was captured,2.4
259,Syrian army retakes Crusader castle from rebels,Syrian army retakes historic Crusader castle,4.6
262,Saudi to give Lebanese army $3 billion,Saudi Arabia to grant Lebanese army $3 billion,5.0
265,Red Cross workers released in Ukraine,Red Cross members kidnapped in Syria,0.8
267,Syria envoy says no peace talks without opposition,Syria: Cameron and Obama move west closer to intervention,0.6
268,Queen to name biggest ever carrier,Queen names giant aircraft carrier,4.2
269,Bangla militants escape from prison van in bomb ambush,Bangladesh prison van ambushed,3.4
270,Wreckage of Air Algerie plane carrying 116 people found in Mali,Wreckage from AirAlgerie flight AH5017 found in Mali,3.4
273,Influential Palestinians Seek One Democratic State,Arab League Backs Palestinian Stance in Peace Talks,0.6
274,Dozens killed in Russian plane crash,Ten killed in Alaska plane crash,1.4
275,Southwest jet hit nose first,Southwest Jet's Nose Gear Landed First,3.6
276,U.S. retailers agree to Bangladesh plant safety pact,70 retailers agree to new Bangladesh factory safety pact,4.0
277,US government shutdown begins - live updates,Government Shutdown Begins Over Health Care Feud,3.2
285,Suicide bomber kills 14 in Afghanistan,Suicide blast kills 1 in Afghan capital,3.0
286,China launches probe and rover to moon,China launches first moon rover mission,4.0
287,All eyes on Khurshid‚Äôs trip ...,EU finance ministers‚Äô talks b...,1.8
288,Australia cuts rates to record low,Australia cuts interest rate to record low 2.75%,3.8
289,Chinese News Agency Slams Delays in Search for Jet,Ten Chinese vessels on standby for jet search,3.2
291,Classic crossword - Saturday 1st June,Classic crossword - Saturday 20th April,1.6
292,N Korea test-fires 30 short-range missiles,N. Korea fires short-range missiles,3.4
295,Palestinian diplomat dies in Prague blast,Palestinian diplomat killed in explosion in Prague,5.0
296,Protesters clash with police in Caracas,Protesters Clash with Police in Brazil,3.8
298,Novice 'steered South Korea ferry',South Korea ferry captain arrested,2.4
300,Chinese president meets Indian vice president,Chinese president meets U.S. state secretary,1.6
302,Twelve killed in bomb blast on Pakistani train,Gunmen kill nine in southwest Pakistan: Police,2.0
303,"Teenage girl killed in east London Shereka Marsh was shot in the neck, police say",Hackney shooting: Teenager Shereka Marsh 'bled to death after being shot in neck',4.6
304,Death toll in Nairobi attack rises to 59,Death toll from Egypt violence rises to 638,1.6
308,China's Peace Ark departs for the Philippines Thursday,China sends aid team to Philippines,4.0
310,France cleared to impose controversial 'millionaire tax',Manila to increase counter-terror team,0.0
311,Iran dissidents 'killed in Iraq',France loses influence in Europe,0.0
312,James Gandolfini dies aged 51,Nelson Mandela dies aged 95,0.4
314,Nearly nine million people in 'severe debt',Britain's debt timebomb: Nine million are in 'serious debt',4.2
315,Egypt arrests Muslim Brotherhood leader Badie,Egypt braces for more violence as Muslim Brotherhood calls 'march of anger',1.6
316,Updated - Two explosions near finish line of Boston Marathon,Report of two explosions at finish line of Boston Marathon,5.0
317,Twelve killed in bomb blast on Pakistani train,Five killed by bomb blast in East India,1.0
319,The new Cold War,A new Cold War?,4.8
323,Powerful quake strikes off eastern Indonesia,6.6-mag quake strikes off eastern Indonesia,4.0
329,Cuba's 'Ladies' to pick up EU prize 8 years late,Cuba's 'Ladies' to Pick Up EU Prize 8 Years Later,5.0
331,Fourteen killed in Brazil bus accident,Two killed in Arizona skydiving accident,0.6
335,US: Assad used chemical weapons on Syria rebels,Assad agrees to hand over chemical weapons,1.8
336,Death Toll in Bangladesh Collapse at 194,At least 200 killed in Bangladesh building collapse,3.4
340,Israeli teens missing in West Bank,Israel finds bodies of three missing teens in West Bank,2.8
341,President mourns death of Mandela,World mourns passing of Mandela,3.4
347,"Two blasts near Iranian embassy in Beirut, 7 killed",Blast near Iran embassy in Beirut,3.2
348,Israel expands subsidies to settlements,Israel widens settlement subsidies,5.0
351,Singapore shares open 0.31% higher on Monday,Singapore shares open lower on Monday,2.2
353,Suicide bomber kills 23 Iraqi army recruits,Suicide bomber kills 13 Iraqi army recruits in Baghdad,2.4
355,"Syrian forces hit mosque with barrel bomb, kill 5",Hunting for clues in Boston bombing,0.4
360,"Deaf customers sue Starbucks, say they're mocked","Deaf NY Starbucks patrons sue, say they're mocked",4.6
361,Thousands evacuated in Moscow metro fire,Thousands evacuated after fire breaks out in Moscow Metro,4.8
364,"38 killed in rains, flash floods in Pakistan",Three killed in Brazil stadium collapse,0.4
365,7 killed by Shiite al-Houthi fighters in northern Yemen,At least 5 killed in sectarian conflict in north Yemen,3.0
368,Iran excluded from Syria peace talks: UN,Many killed in Syrian air strike,0.4
371,Libya asks UN Security Council for help,Kerry Calls On UN Security Council to Act on Syria,2.4
374,Kerry call on Congress to end shutdown,Brazil's Congress approves internet legislation,0.4
381,Canada train plot suspects reject charges,"Canadians released in Egypt, not yet heading home",1.0
383,East Ukraine Separatists Ask to Join Russia,Crimean Parliament Votes to Join Russia,2.8
384,Rudd sworn in as new Australian PM,Muslims in hiding as sectarian ...,0.0
386,Moon rocks indicate earth's orb born of collision,Indian minister killed in head-on collision,0.0
387,Obama lashes North Korea as pariah state,Obama lashes North Korea as weak ‚Äėpariah state‚Äô,3.8
389,BlackBerry loses US$965m in Q2,BlackBerry loses $965M in 2nd quarter,5.0
390,Colombia strike three times,Colombia too slick for Greece,1.8
392,"Tornadoes level homes in Oklahoma, 1 dead","Tornadoes hit Kan., Okla.; no injuries reported",3.2
393,Egypt strongly opposes military action against Syria,Reactions to the prospect of military action against Syria,1.6
396,Pro-Russia rebels downed Malaysian plane: Ukraine,Russia Preparing Counterproposals Over Ukraine,1.8
397,No argument with Jakarta on boats: Abbott,No agreement at Iran nuclear talks,0.4
401,US believes Syria has probably used chemical weapons,US believes Syrian government used chemical weapons,4.6
405,Egypt's opposition criticizes president's speech,Pakistan's opposition party boycotts presidential elections,0.0
406,Syrian war seen dragging on for years,Syria regime releases hundreds of prisoners,1.0
407,Russia says ballistic missiles fired in Mediterranean,Israel says it carried out joint missile test with US in Mediterranean,1.0
409,"Volcano erupts in Indonesia -100,000 evacuated and airports closed",Volcanic eruption closes 3 airports,3.0
411,"49 killed, 148 wounded in violent attacks in Iraq","2 killed, 11 wounded in attacks in Iraq",1.4
412,Ukraine's Yanukovych says he does not plan to resign,Ukraine opposition demands Yanukovich resign,1.4
413,Flash floods kill 58 in eastern Afghanistan,Bomb wounds 16 in eastern Afghanistan,0.8
414,Investigators probe motives of LAX airport shooter,Investigators Probe Motives of Los Angeles Airport Shooter,5.0
415,"Margaret Thatcher, former U.K. PM, dead at 87",Margaret Thatcher dies at 87,3.8
416,Outrage after reports emerge about 6-year-old Indian girl raped at school,"Outrage After Indian Girl, 6, Raped at Her School",5.0
419,Janet Yellen to become first woman to lead the Federal Reserve,US Senate confirms Janet Yellen as US Federal Reserve chief,4.6
422,"World powers, Iran under Rouhani revive nuclear talks",World powers seek rare progress in Iran nuclear talks,3.8
425,Muslim Brotherhood banned in Egypt,Military holds upper hand in Egypt,1.2
427,More Deaths Expected in Canada Oil Train Explosion,Five dead in Canada train crash,2.8
430,Philippines defers comment on Taiwan fisher attack,Bin Laden's continuing sway shown in Kenya mall attack,0.4
432,"Crowds, Dignitaries Gather for Mandela Memorial Service",Obama takes 'selfie' at Mandela's funeral service,1.6
437,"Obama Urges Restraint from Israelis, Palestinians","Obama meets Israeli, Palestinian negotiators",1.8
439,Russia releases Greenpeace doctor,Russian court releases Greenpeace ship doctor on bail,4.2
440,Russian aircraft wreckage found after a year,Russia evacuates embassy in Libya after attack,0.2
441,17 killed in US drone attack on Yemen wedding party,U.S. drone mistakenly kills 14 in Yemen wedding convoy,4.0
442,China manufacturing index at 11-month low: HSBC,China manufacturing expands in September,1.0
445,France to ban child beauty pageants,Facebook to test mobile payments service,0.4
446,"Today in History, Dec. 2","Today in History, April 23",1.8
447,Lord Palumbo offers hope for a relationship with his son James,Oscar Pistorius sent for mental evaluation: what will it mean?,0.2
451,Ships Train for Syrian Chemical Weapons Transport,UN Adopts Syrian Chemical Weapons Resolution,1.8
452,Death toll rises to 29 in India's Mumbai building collapse,Death toll rises to 12 in Indonesia mine collapse,0.6
455,Extremists claim responsibility for Niger attacks,Greek militant group claims responsibility for Golden Dawn killings,1.4
460,Pro-Russians forces enter Ukrainian naval base in Crimea,Crimean forces storm Ukrainian navy headquarters,3.8
461,Body of missing South Korean shipping tycoon found in field,Sewol ferry disaster: Body of South Korean shipping tycoon found,4.2
465,No update on Nelson Mandela's condition,Nelson Mandela's condition improves,2.2
466,One dead in US building collapse,Six killed in US building collapse,2.6
467,Ukraine: Nine people die in Kyiv clashes,Ukraine pressured over Kiev clashes,2.0
470,US Flying Surveillance Missions to Help Find Kidnapped Nigerian Girls,US surveillance aircraft join hunt for kidnapped Nigerian girls,4.2
471,6.4-magnitude quake strikes off Indonesia,6.9-magnitude quake strikes off Russia's Kuril Islands,1.0
472,Deputy speaker faces new sex claims,Deputy Speaker Nigel Evans Re-Arrested,2.0
477,CIA chief visits Israel for Syria talks,CIA chief in Israel to discuss situation in Syria,5.0
478,Prince George is christened at St James's Palace,Prince George christened in London,3.8
479,Monty Python to reunite for new show,Monty Python to reunite on stage,4.0
480,Italian Foreign Minister confers with Ghana VP,Belgian Prime Minister sends condolences to victims,0.2
482,"Gunman who held suburban Atlanta firefighters hostage now dead, police say",The Lede: Video: Gunman Takes Firefighters Hostage in Georgia,1.4
483,Bradley Manning-WikiLeaks case turns to sentencing,Manning WikiLeaks case turns to sentencing phase,5.0
484,Police helicopter crashes into pub in Glasgow - several casualties,Helicopter crashes into roof of Glasgow club,4.0
485,Egypt poll: 98 per cent vote 'yes' for new constitution,Egypt holding key vote on constitution,2.4
486,"Iran, six global powers sign landmark nuclear deal","Iran, world powers agree nuclear deal",4.6
487,"Quotes from leaders, family at Mandela memorial",Obama shakes hands with Cuba's Castro at Mandela memorial,2.0
492,Israeli forces arrest 6 Palestinians in overnight West Bank raids,Israel classifies Jerusalem natives as noncitizens,1.0
493,Hague 'concerns over conduct' of Zimbabwe election,Zimbabwe: 'Grave Concerns' Over Election,2.8
494,Hong Kong stocks end higher,Indian stocks open higher,0.6
495,Dignitaries pay tribute to Paul Desmarais,Stars pay tribute to James Garner,0.4
497,Southwest grounds flights due to computer glitch,"Southwest flights delayed, canceled after computer glitch",4.2
498,Vatican Embassy in Syria hit by mortar fire,Vatican embassy in Syria hit by mortar; no injuries,3.6
501,North Korea blocks access to joint industrial zone,North Korea Blocks Access to Key Industrial Zone,4.2
502,Gunmen 'kill 10 tourists' in Kashmir,Gunmen kill four in Kenya church attack,2.2
503,"Islamic militants kill 9 foreign tourists, 1 Pakistani",Gunmen Kill 11 Foreign Tourists in Pakistan,2.8
506,'Western' forces attack Islamic militant base in Somalia,Western powers scramble to befriend Modi,1.0
508,Hong Kong set for huge democracy rally on handover anniversary,Hong Kong set for huge democracy rally,3.8
510,Suicide bomber kills 20 in Iraq,"Suicide bomber attacks primary school in Iraq, kills 15",3.0
511,Major fire breaks out in JK secretariat in Srinagar,Fire breaks out near secretariat in Srinagar,4.6
514,Five children buried alive in Bohol landslide,Nine children die in attack in Afghanistan attack,0.4
515,6 Killed by Hot Lava as Indonesia Volcano Erupts,Five dead in Indonesian eruption,3.0
516,At least 11 killed in India building collapse,At Least 66 Killed in Bomb Blasts in Iraq,0.6
518,Egypt's presidential election begins,Egypt issues long-waited presidential election law,2.8
519,Son of US evangelist kills himself The son of popular US evangelist Rick Warren has killed himself.,Son of popular US evangelist Warren kills himself,4.4
523,China-EU 2020 Strategic Agenda for Cooperation released at 16th China-EU Summit,Full text: China-EU 2020 Strategic Agenda for Cooperation,4.4
524,Italian parliament backs new PM,Train Derailment Kills 4 in New York,0.0
525,Russian lawmakers pass new bill restricting Internet,Russia says ballistic 'objects' fired in Mediterranean,0.4
526,"Suicide bomb kills 4, injures 13 in Pakistan",Twitter blocks content in Pakistan,0.0
527,Ukraine rebels 'flee eastern stronghold',Ukraine Claims Rebels Flushed from Main Stronghold,3.6
529,"Super Typhoon Haiyan, Strongest of Season, Slams the Philippines",Super typhoon Haiyan closes in on the Philippines,3.4
530,Nato condemns Ukraine crackdown,Thai bonds best in region,0.0
532,China to investigate EU wine exports,Christie investigation heats up,1.2
533,Chinese shares close higher on Tuesday,Chinese shares close lower on Wednesday,1.8
538,Conan O'Brien at the White House Correspondents' Dinner,Obama and O'Brien Cast Their Versions of D.C. White House Correspondents' Dinner,3.6
541,Boston bomb suspect charged; religious motive seen,Boston bombing suspect charged in hospital bed,3.0
543,Asian markets mixed on China trade data,Asian markets slump on central bank stimulus fears,1.4
544,World's oldest person dies in Japan at 116,Jiroemon Kimura: World's oldest person dies aged 116,4.8
545,Foreign exchange rates in India,Foreign exchange rates in Singapore,1.4
546,Colorado wildfire destroys more than 90 homes as winds worsen,Colorado wildfire may be biggest property destroyer in state history,3.6
553,Global progress seen in ending death penalty,Iran diplomat: progress being made in expert-level talks,0.0
554,Earthquake of 6.3 magnitude strikes off Indonesia island,Earthquake of 6 magnitude strikes Thailand,2.0
556,"US, Afghan govt to hold peace talks with Taliban",Pakistan holds direct talks with Taliban,2.0
560,"News of Terrorism and the Israeli-Palestinian Conflict (January 22 ‚Äď 28, 2014)","News of Terrorism and the Israeli-Palestinian Conflict (July 31 ‚Äď August 6, 2013)",3.0
564,'It's either too late or too early to intervene in Syria',UN Chief: Inspectors need 4 days to conclude probe in Syria,1.6
565,Greek police arrest German on suspicion of spying,Israel press bemoans price of talks resumption,0.0
568,Iran's nuclear negotiating team leaves for Kazakhstan,Iran's nuclear quest 'has cost Tehran over $100 billion',1.0
569,U.S factory orders down 0.7 pct in January,German factory orders rebound in January,0.8
570,4 foreigners among 9 killed in Kabul hotel attack,Foreigners among dead in Kabul hotel attack,3.6
574,Gunmen Surround Libya's Foreign Ministry To Push Demands,Gunmen surround Libyan foreign ministry to push demands,5.0
576,Typhoon death toll rises to 3633,Egyptian death toll rises to 638,0.6
577,Uganda's president signs anti-gay bill,Uganda's president signs harsh anti-gay law,4.2
578,Russian parliament allows Putin to use military in Ukraine,Russia has no intention to incorporate southeastern Ukraine: FM,1.8
579,Bradley Manning acquitted of aiding the enemy,Wikileaks soldier Bradley Manning acquitted of aiding the enemy,4.4
582,G7 'to intensify Russia sanctions',Ukraine Fears Russian Invasion,0.6
584,Rock bands' plane makes emergency landing in Ill.,Rock Bands' Plane Makes Emergency Landing in Ill.,5.0
587,Russian Prime Minister On Second Day Of Crimea Visit,Russia warns against setting preconditions for Syria,0.8
590,Judge OKs force-feeding California inmates,U.S. judge approves force-feeding Californian inmates on hunger strik,4.6
591,Gang violence kills 16 in Venezuelan prison,Sixteen killed in Venezuela prison,4.0
594,UN Chemical Weapons Experts to Visit Syria,US Says Chemical Weapons Used in Syria,2.0
595,Firefighters battle forest fire in SW China,Firefighters battling scrub fire in Hokianga,3.4
597,"US Military Deaths in Afghanistan at 2,153",U.S. Military Deaths in Afghanistan,3.4
598,"Israel, Palestinians seek another meeting Monday: U.S. official",Palestinians: We Don't Want Kerry Mission to Fail,1.4
599,Syria agrees to surrender chemical weapons,Syria FM: We will stop producing chemical weapons,3.4
600,Tropical Storm Karen targets US Gulf Coast,Tropical Storm Karen poised to make landfall,3.8
606,"Seamus Heaney, Irish Poet of Soil and Strife, Dies at 74","Seamus Heaney, Irish poet and Nobel winner, dies at 74",4.8
609,Bangladesh Islamists rally against atheist bloggers,Bangladeshi Islamists rally to demand action against atheist bloggers,4.6
610,Crash of Malaysia Airlines Flight MH17 in Eastern Ukraine,Malaysia Airlines plane crashes on Ukraine-Russia border,4.0
611,Suicide bomber kills 13 at restaurant in central Somalia,Suicide bomber kills at least 4 in Kabul,1.8
612,Anthony Weiner slips to fourth place in new poll,Weiner falls to fourth in new NYC mayoral poll,5.0
621,India accuses China of crossing de facto border,"Senate, House on collision course on border money",0.6
622,Pregnant Sudan woman who married a Christian man sentenced to death for 'apostasy',Sudan frees Christian woman sentenced to death for apostasy,2.8
623,US top diplomat Kerry's wife rushed to hospital,US Secretary of State John Kerry‚Äôs wife rushed to hospital,5.0
625,Hassan Rouhani wins Iran's presidential election,Maduro wins Venezuelan presidential vote,0.2
627,Kerry pursuing 'quiet strategy' in Mideast peace process,Kerry meets Israeli leaders to push Mideast peace,3.8
